Utilities;HouseStyle;OverallCond;ExterCond;HeatingQC;CentralAir;FullBath;KitchenQual;TotRmsAbvGrd;FireplaceQu;SaleCondition
AllPub;2Story;6;TA;Gd;Y;2;TA;9;NA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;8;NA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;9;Gd;Normal
AllPub;1Story;5;TA;TA;Y;2;TA;7;Gd;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;7;NA;Normal
AllPub;1Story;6;Gd;TA;Y;1;TA;4;NA;Normal
AllPub;1.5Fin;4;TA;TA;Y;2;TA;7;TA;Normal
AllPub;1Story;6;Gd;Ex;Y;2;TA;8;Gd;Normal
AllPub;1Story;6;TA;TA;Y;1;TA;4;NA;Normal
AllPub;2Story;5;TA;Gd;Y;2;TA;7;TA;Normal
AllPub;1Story;7;TA;Gd;Y;1;TA;6;NA;Normal
AllPub;2Story;6;Gd;Gd;N;2;TA;8;NA;Normal
AllPub;SLvl;5;TA;TA;Y;1;TA;5;NA;Normal
AllPub;1Story;7;TA;Ex;Y;1;TA;4;NA;Normal
AllPub;1.5Fin;5;TA;TA;Y;1;TA;6;NA;Normal
AllPub;1Story;5;TA;TA;N;2;TA;8;NA;Normal
AllPub;2Story;6;TA;Gd;Y;1;TA;5;NA;Normal
AllPub;2Story;6;Gd;TA;Y;2;Gd;8;Gd;Normal
AllPub;1Story;5;Gd;Ex;Y;2;TA;5;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;6;Gd;Normal
AllPub;1Story;5;TA;Gd;Y;1;TA;6;NA;Normal
AllPub;SLvl;5;TA;Gd;Y;2;TA;7;TA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;9;TA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;6;Gd;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;4;NA;Partial
AllPub;1.5Fin;2;Fa;TA;N;1;Fa;6;NA;Abnorml
AllPub;1Story;5;TA;Ex;Y;1;TA;5;NA;Normal
AllPub;1Story;5;TA;TA;Y;1;TA;4;NA;Normal
AllPub;1Story;3;TA;TA;Y;1;TA;6;NA;Abnorml
AllPub;1Story;7;Gd;Ex;Y;1;TA;5;NA;Normal
AllPub;2.5Unf;6;TA;Ex;N;2;TA;9;Gd;Normal
AllPub;2Story;5;Gd;Ex;Y;2;Gd;7;NA;Normal
AllPub;2Story;8;Gd;Gd;Y;2;TA;6;TA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;6;NA;Normal
AllPub;1Story;5;TA;TA;Y;1;TA;6;NA;Normal
AllPub;1Story;5;TA;Fa;N;1;TA;5;NA;Abnorml
AllPub;1Story;5;TA;Fa;Y;1;TA;6;NA;Normal
AllPub;1Story;7;TA;Gd;Y;2;Gd;6;TA;Normal
AllPub;2Story;5;TA;TA;Y;2;Gd;7;TA;Normal
AllPub;1Story;5;Fa;TA;Y;2;TA;8;NA;Alloca
AllPub;1Story;5;TA;Ex;Y;2;Gd;6;NA;Normal
AllPub;1.5Fin;4;Fa;Ex;Y;1;TA;7;TA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;9;Gd;Normal
AllPub;1Story;7;TA;Gd;Y;1;TA;6;NA;Normal
AllPub;1Story;5;TA;Ex;Y;1;TA;5;NA;Partial
AllPub;1.5Fin;7;TA;TA;N;2;Fa;7;NA;Normal
AllPub;1Story;6;TA;Ex;Y;2;TA;7;TA;Normal
AllPub;1.5Fin;4;TA;Gd;Y;2;TA;7;NA;Normal
AllPub;SLvl;5;TA;Ex;Y;2;TA;7;TA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Ex;10;Gd;Partial
AllPub;1Story;5;Gd;TA;Y;2;Gd;7;Gd;Abnorml
AllPub;2Story;8;TA;Ex;Y;2;Gd;9;TA;Normal
AllPub;2Story;5;TA;Gd;Y;2;TA;5;Fa;Normal
AllPub;1Story;5;TA;TA;Y;1;TA;6;Po;Normal
AllPub;1Story;5;TA;Gd;Y;1;TA;5;NA;Partial
AllPub;2Story;5;TA;Gd;Y;3;Gd;11;TA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;8;Gd;Partial
AllPub;SLvl;5;TA;Ex;Y;1;TA;4;TA;Normal
AllPub;1.5Fin;5;TA;Gd;Y;1;TA;4;NA;Normal
AllPub;1Story;7;Gd;Gd;Y;1;TA;5;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;5;NA;Normal
AllPub;1Story;5;Gd;TA;Y;2;TA;7;TA;Normal
AllPub;1.5Fin;8;Fa;Gd;N;1;TA;5;NA;Normal
AllPub;1Story;5;TA;TA;Y;2;TA;5;TA;Normal
AllPub;1.5Unf;7;Gd;Ex;Y;1;TA;5;TA;Normal
AllPub;2Story;5;TA;TA;Y;1;TA;6;Fa;Normal
AllPub;1Story;7;TA;TA;Y;1;Ex;6;NA;Abnorml
AllPub;2Story;6;TA;Ex;Y;2;Gd;8;Gd;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;7;TA;Normal
AllPub;1Story;6;TA;Gd;Y;1;Gd;7;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;6;NA;Normal
AllPub;1Story;6;TA;Gd;Y;2;TA;7;TA;Normal
AllPub;1Story;6;TA;Gd;Y;2;TA;7;Gd;Normal
AllPub;1Story;5;TA;TA;Y;2;TA;5;Fa;Normal
AllPub;1Story;5;TA;Gd;Y;3;TA;9;NA;Family
AllPub;2Story;5;TA;Ex;Y;2;Gd;7;TA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;7;NA;Normal
AllPub;1Story;5;TA;TA;Y;1;TA;5;Po;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;7;NA;Normal
AllPub;1.5Fin;4;Fa;Fa;Y;2;TA;6;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;6;NA;Normal
AllPub;1Story;5;TA;TA;Y;2;TA;10;NA;Abnorml
AllPub;2Story;5;TA;Ex;Y;2;Gd;7;NA;Normal
AllPub;1Story;7;TA;TA;Y;1;TA;5;NA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;8;Gd;Normal
AllPub;1Story;5;TA;Ex;Y;1;Gd;6;NA;Normal
AllPub;1.5Fin;4;TA;Gd;Y;1;TA;7;NA;Normal
AllPub;1Story;6;TA;TA;Y;1;TA;5;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;6;Gd;Partial
AllPub;2Story;5;TA;Gd;Y;2;TA;8;Gd;Normal
AllPub;1Story;7;TA;Gd;Y;1;TA;4;Gd;Normal
AllPub;1Story;5;TA;TA;Y;1;TA;7;NA;Family
AllPub;1.5Fin;5;TA;Fa;N;1;TA;5;NA;Normal
AllPub;1Story;7;TA;TA;Y;1;TA;5;NA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Ex;8;Gd;Partial
AllPub;2Story;5;TA;Ex;Y;2;Gd;8;Gd;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;9;Gd;Partial
AllPub;1Story;6;TA;TA;Y;2;TA;6;NA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Ex;10;Gd;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;7;Gd;Partial
AllPub;1.5Unf;6;TA;Ex;Y;1;TA;4;NA;Normal
AllPub;1Story;7;Gd;Gd;Y;2;Gd;5;NA;Normal
AllPub;1.5Fin;7;Gd;Gd;Y;2;TA;6;NA;Normal
AllPub;1Story;5;TA;Ex;Y;1;TA;7;Gd;Normal
AllPub;2Story;5;TA;Ex;Y;1;Ex;8;Gd;Partial
AllPub;2Story;5;TA;Ex;Y;2;Gd;7;Gd;Normal
AllPub;1Story;6;TA;TA;Y;2;TA;6;TA;Normal
AllPub;1.5Fin;6;TA;TA;Y;1;TA;7;NA;Normal
AllPub;1Story;5;TA;Fa;Y;1;TA;7;Gd;Normal
AllPub;2Story;7;Gd;Gd;Y;2;Gd;5;TA;Normal
AllPub;1Story;5;TA;TA;Y;1;TA;6;TA;Normal
AllPub;1Story;5;TA;TA;Y;2;TA;7;TA;Normal
AllPub;1Story;7;TA;TA;Y;2;Gd;7;Gd;Normal
AllPub;2Story;5;TA;TA;Y;2;TA;8;TA;Normal
AllPub;1.5Fin;5;Gd;Ex;Y;2;Gd;8;Gd;Normal
AllPub;1Story;5;TA;Ex;Y;2;Ex;9;Gd;Partial
AllPub;1Story;6;TA;TA;Y;1;TA;5;NA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;5;TA;Normal
AllPub;2Story;6;TA;Gd;Y;1;TA;9;Gd;Normal
AllPub;1Story;6;TA;Ex;Y;1;TA;7;Gd;Normal
AllPub;1.5Fin;5;TA;Ex;Y;2;Gd;6;NA;Normal
AllPub;1.5Fin;8;TA;Gd;Y;1;TA;5;NA;Normal
AllPub;2.5Fin;9;Gd;Ex;Y;2;Ex;12;TA;Normal
AllPub;SLvl;5;TA;Ex;Y;2;Gd;6;NA;Normal
AllPub;1.5Fin;7;TA;Ex;Y;2;TA;8;NA;Normal
AllPub;SFoyer;5;TA;TA;Y;0;TA;6;TA;Alloca
AllPub;1Story;5;TA;Ex;Y;1;Ex;5;Gd;Normal
AllPub;2Story;8;TA;TA;Y;2;Gd;10;TA;Normal
AllPub;2Story;9;TA;Gd;Y;1;Gd;7;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;6;NA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;7;NA;Normal
AllPub;1Story;7;TA;TA;Y;1;TA;5;NA;Normal
AllPub;2Story;6;TA;TA;Y;2;TA;7;TA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Ex;8;Gd;Partial
AllPub;2Story;4;Gd;Gd;Y;2;Gd;8;Ex;Abnorml
AllPub;2.5Fin;6;TA;Ex;Y;1;TA;8;NA;Abnorml
AllPub;1Story;5;TA;Ex;Y;2;Ex;7;Gd;Normal
AllPub;1Story;5;TA;Ex;Y;2;TA;5;NA;Normal
AllPub;1Story;6;TA;TA;Y;2;TA;6;Fa;Normal
AllPub;1.5Fin;6;Gd;Gd;Y;2;TA;6;NA;Normal
AllPub;1Story;5;TA;Ex;Y;1;Gd;3;Gd;Normal
AllPub;1.5Fin;7;TA;TA;Y;1;TA;5;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;TA;5;NA;Normal
AllPub;1Story;5;Gd;TA;Y;1;TA;8;TA;Normal
AllPub;1Story;5;TA;TA;Y;1;TA;6;Po;Normal
AllPub;2Story;5;TA;Ex;Y;2;TA;7;Gd;Normal
AllPub;1Story;7;TA;Ex;Y;1;TA;6;NA;Normal
AllPub;1Story;6;TA;TA;N;1;TA;5;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;6;NA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;7;TA;Partial
AllPub;1Story;5;TA;Ex;Y;1;TA;5;NA;Normal
AllPub;2Story;7;TA;Ex;Y;1;TA;6;NA;Normal
AllPub;1Story;6;TA;TA;Y;1;Gd;6;Fa;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;8;NA;Normal
AllPub;2Story;4;TA;Fa;N;1;TA;8;NA;Family
AllPub;1.5Fin;9;Gd;Ex;Y;1;Gd;8;TA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;5;NA;Partial
AllPub;1Story;5;TA;Ex;Y;2;Gd;5;NA;Partial
AllPub;2Story;5;TA;Ex;Y;2;Gd;8;TA;Normal
AllPub;2Story;6;TA;TA;Y;2;TA;6;TA;Normal
AllPub;1Story;6;TA;Gd;Y;1;TA;4;NA;Abnorml
AllPub;1Story;5;TA;Ex;Y;2;Ex;8;Ex;Normal
AllPub;2Story;5;TA;TA;Y;2;TA;6;NA;Abnorml
AllPub;2Story;5;TA;Ex;Y;2;Gd;9;TA;Abnorml
AllPub;2Story;6;TA;TA;Y;1;TA;5;NA;Normal
AllPub;1Story;5;TA;TA;Y;1;TA;5;Fa;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;7;TA;Normal
AllPub;1Story;6;TA;TA;Y;1;TA;6;NA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Ex;9;TA;Normal
AllPub;2Story;5;TA;TA;Y;1;TA;5;Po;Normal
AllPub;1Story;6;TA;TA;Y;1;TA;5;NA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;8;TA;Normal
AllPub;2Story;3;TA;TA;Y;1;TA;5;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;6;NA;Normal
AllPub;2Story;7;TA;Ex;Y;2;Gd;7;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;7;NA;Partial
AllPub;1.5Fin;4;TA;TA;Y;1;TA;7;Gd;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;7;NA;Normal
AllPub;1Story;9;Gd;Gd;Y;1;Gd;4;NA;Normal
AllPub;1.5Fin;4;TA;Gd;N;1;TA;6;NA;Normal
AllPub;2Story;6;TA;TA;Y;1;TA;6;TA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;8;Fa;Normal
AllPub;1Story;5;TA;Gd;Y;2;TA;6;TA;Normal
AllPub;2Story;8;Fa;Gd;N;2;Fa;9;NA;Normal
AllPub;1Story;5;TA;Ex;Y;1;TA;5;TA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;8;NA;Normal
AllPub;1.5Fin;7;TA;Gd;Y;2;Gd;7;TA;Normal
AllPub;1Story;2;Po;Ex;Y;1;Fa;6;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;5;Gd;Family
AllPub;2Story;5;TA;Ex;Y;2;Gd;6;NA;Normal
AllPub;SLvl;7;TA;Ex;Y;2;Gd;7;NA;Normal
AllPub;1Story;6;Gd;TA;Y;1;TA;5;NA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;8;TA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;7;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;8;Gd;Abnorml
AllPub;2Story;5;TA;Ex;Y;2;Gd;7;TA;Normal
AllPub;1Story;5;TA;Gd;Y;1;TA;4;NA;Normal
AllPub;SLvl;5;TA;TA;Y;1;TA;6;TA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Ex;10;Gd;Partial
AllPub;SLvl;7;TA;TA;Y;1;TA;6;TA;Normal
AllPub;1.5Fin;7;TA;TA;Y;1;TA;6;NA;Normal
AllPub;1Story;5;TA;Gd;N;1;TA;4;NA;Normal
AllPub;1Story;6;Gd;TA;Y;2;Gd;7;TA;Normal
AllPub;2Story;5;TA;Gd;Y;2;TA;8;TA;Normal
AllPub;2.5Fin;8;TA;Ex;Y;2;Gd;8;Gd;Normal
AllPub;1Story;6;TA;Ex;Y;1;TA;4;Gd;Normal
AllPub;1Story;7;Gd;TA;Y;1;TA;6;Fa;Normal
AllPub;2Story;5;TA;Gd;Y;2;Gd;8;Gd;Partial
AllPub;1Story;7;TA;Ex;Y;1;TA;5;TA;Normal
AllPub;2Story;7;TA;Ex;Y;2;Gd;9;Gd;Normal
AllPub;1Story;6;TA;Gd;Y;2;TA;6;Gd;Normal
AllPub;1Story;7;TA;TA;Y;1;TA;5;NA;Normal
AllPub;1.5Fin;7;Gd;Gd;N;2;Ex;5;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;7;NA;Normal
AllPub;1Story;5;TA;Ex;Y;1;TA;4;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Ex;8;Ex;Partial
AllPub;2Story;5;TA;Ex;Y;2;TA;8;TA;Normal
AllPub;2Story;6;TA;Gd;Y;2;Gd;7;TA;Normal
AllPub;1Story;5;TA;Gd;Y;2;Gd;5;NA;Partial
AllPub;1Story;5;TA;Ex;Y;2;Gd;6;Gd;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;6;Gd;Partial
AllPub;1Story;5;TA;Gd;Y;2;Gd;5;NA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;5;NA;Partial
AllPub;1.5Fin;7;TA;TA;Y;1;Gd;7;Gd;Normal
AllPub;1Story;4;TA;TA;Y;1;TA;5;NA;Normal
AllPub;1Story;5;Gd;TA;Y;1;TA;5;NA;Normal
AllPub;2Story;7;TA;Ex;Y;1;TA;7;NA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;8;Gd;Partial
AllPub;2Story;6;Fa;Ex;N;2;Fa;9;NA;Normal
AllPub;1.5Fin;4;TA;Gd;Y;1;TA;8;Gd;Normal
AllPub;2Story;7;TA;Fa;Y;2;Gd;9;TA;Normal
AllPub;1Story;5;TA;TA;Y;1;TA;7;Gd;Normal
AllPub;SLvl;6;TA;TA;Y;1;TA;6;NA;Normal
AllPub;1.5Fin;5;TA;TA;Y;1;TA;6;NA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;7;TA;Normal
AllPub;2Story;6;TA;Gd;Y;1;TA;7;Gd;Normal
AllPub;1Story;8;Gd;Ex;Y;1;Gd;6;Gd;Family
AllPub;1Story;5;TA;TA;Y;1;TA;5;Gd;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;9;TA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;6;TA;Normal
AllPub;1Story;7;TA;TA;Y;1;TA;5;NA;Abnorml
AllPub;2.5Fin;9;TA;Ex;Y;3;Gd;10;Ex;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;8;NA;Normal
AllPub;2Story;5;TA;Gd;Y;2;Gd;8;TA;Normal
AllPub;1.5Fin;7;Fa;TA;Y;1;Fa;6;NA;Normal
AllPub;1Story;5;TA;Ex;Y;1;TA;4;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Ex;8;Ex;Normal
AllPub;2Story;5;TA;Gd;Y;2;Gd;6;TA;Normal
AllPub;1Story;6;Gd;Ex;Y;1;TA;5;Gd;Normal
AllPub;1.5Fin;7;TA;TA;Y;1;TA;5;Gd;Normal
AllPub;1Story;5;TA;TA;Y;2;TA;8;Gd;Normal
AllPub;2Story;7;TA;Ex;Y;1;Ex;6;Gd;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;6;Gd;Normal
AllPub;2Story;7;TA;TA;Y;2;Ex;10;TA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;8;Gd;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;9;TA;Normal
AllPub;SLvl;5;TA;TA;Y;2;TA;6;TA;Normal
AllPub;2Story;5;TA;Ex;Y;3;Gd;9;NA;Partial
AllPub;2Story;5;TA;Ex;Y;2;Gd;10;Gd;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;8;TA;Normal
AllPub;1Story;8;Gd;Ex;Y;1;TA;6;NA;Normal
AllPub;SLvl;7;Gd;Ex;Y;2;Gd;11;Gd;Normal
AllPub;1.5Unf;6;TA;Po;N;1;TA;5;NA;Normal
AllPub;1Story;5;TA;Ex;Y;1;Gd;6;Gd;Normal
AllPub;1Story;5;TA;TA;Y;1;TA;7;NA;Normal
AllPub;2.5Unf;6;TA;Gd;N;2;Gd;10;NA;Normal
AllPub;2Story;5;TA;TA;N;1;TA;6;NA;Normal
AllPub;1Story;4;TA;TA;Y;2;TA;10;NA;Normal
AllPub;1Story;6;TA;Fa;Y;1;TA;6;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;7;Gd;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;6;Gd;Normal
AllPub;2Story;5;TA;Gd;Y;2;TA;7;TA;Normal
AllPub;1.5Fin;6;TA;Ex;Y;2;TA;7;Gd;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;8;Gd;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;7;NA;Normal
AllPub;1Story;7;TA;Ex;Y;2;Gd;8;NA;Normal
AllPub;1Story;7;TA;TA;Y;1;TA;6;NA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;9;NA;Normal
AllPub;1Story;4;Fa;Gd;Y;1;TA;4;NA;Normal
AllPub;1Story;4;TA;Fa;N;2;TA;6;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;Ex;6;Ex;Normal
AllPub;2Story;3;TA;TA;Y;1;TA;4;NA;Normal
AllPub;1.5Fin;5;TA;Gd;Y;1;Fa;6;Gd;Normal
AllPub;1Story;8;Gd;TA;Y;1;TA;5;NA;Normal
AllPub;1Story;5;TA;Ex;Y;2;TA;6;Gd;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;6;NA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Ex;10;Ex;Partial
AllPub;1Story;5;TA;Ex;Y;2;Ex;6;Gd;Partial
AllPub;1Story;5;TA;Gd;Y;1;Gd;6;TA;Abnorml
AllPub;1.5Fin;6;TA;TA;N;1;TA;5;NA;Normal
AllPub;1Story;8;Gd;Gd;Y;1;TA;5;NA;Normal
AllPub;1.5Fin;5;TA;Ex;Y;1;TA;6;Gd;Normal
AllPub;1Story;5;Gd;Ex;Y;2;Gd;6;NA;Normal
AllPub;1Story;6;TA;Gd;Y;2;Gd;6;NA;Normal
AllPub;1Story;5;TA;TA;Y;1;TA;6;Po;Normal
AllPub;SLvl;4;TA;Ex;Y;1;Gd;6;NA;Abnorml
AllPub;2Story;5;TA;Ex;Y;2;Gd;7;TA;Normal
AllPub;SFoyer;6;TA;Ex;Y;1;TA;5;TA;Normal
AllPub;1.5Fin;5;TA;Gd;Y;1;TA;8;NA;Normal
AllPub;SFoyer;5;TA;Ex;Y;3;Gd;7;Ex;Normal
AllPub;2Story;8;TA;Gd;Y;1;Gd;5;NA;Normal
AllPub;2Story;5;TA;TA;Y;2;TA;6;TA;Normal
AllPub;2Story;7;Gd;Gd;Y;1;TA;6;NA;Normal
AllPub;1Story;5;TA;Gd;Y;1;TA;6;Gd;Normal
AllPub;SLvl;5;TA;Gd;Y;1;TA;6;Gd;Normal
AllPub;1Story;6;TA;Gd;Y;1;TA;7;Gd;Normal
AllPub;1Story;7;Gd;Ex;Y;1;Gd;7;Gd;Normal
AllPub;2Story;5;TA;Ex;Y;2;TA;7;TA;Normal
AllPub;1.5Fin;4;TA;TA;Y;2;TA;7;Gd;Normal
AllPub;1Story;5;TA;TA;Y;1;TA;4;NA;Normal
AllPub;1Story;6;TA;TA;Y;1;TA;5;NA;Normal
AllPub;2Story;5;TA;Ex;Y;2;Gd;8;Gd;Normal
AllPub;1Story;1;Fa;Gd;N;0;Fa;4;NA;Normal
AllPub;SFoyer;5;TA;Ex;Y;1;TA;5;NA;Normal
AllPub;2Story;5;TA;Ex;Y;3;Gd;8;Gd;Normal
AllPub;1Story;2;TA;Ex;Y;1;Ex;8;Ex;Partial
AllPub;2Story;5;TA;Ex;Y;2;TA;7;TA;Normal
AllPub;1.5Fin;6;TA;TA;Y;2;Gd;6;Gd;Normal
AllPub;1Story;5;TA;Ex;Y;2;Gd;5;Gd;Partial
